comments	ratings
"2023/12/24 回訪多次

💰可LINE pay、可全支付。價格不便宜，但值得回味，一吃再吃！

---份量推薦---

$200建議1~3人(普通食量)
$350建議3人(含)以上

----------

整家店就是如招牌只賣脆皮豬🐷，外表超酥脆，
即使冷掉，咬起來還是會ㄎㄠˊㄎㄠˊㄎㄠˊ，
而且內裡軟嫩不油膩也不臭腥，超讚。

-----小菜-----

🧅洋蔥：($200以上附贈)配上脆皮豬一口吃，提味解膩，讓脆皮豬味道昇華到不同感受，讓人停不下來。

🥒青木瓜：($200以上附贈)吃起來像百香蘿蔔，整個餐點吃完後，洗掉口腔味道很剛好，但我比較沒愛這款小菜，搭配脆皮豬一起吃我覺得不搭。

🥬黃金泡菜：($350以上附贈)腐乳香濃入味，搭配脆皮豬一起吃，可以帶出不同風味。

小菜加購一組(三款)$90、單購黃金泡菜一盒$30。

----------

🌶️店家會附贈一包辣粉，吃起來像中國乾碟的辣粉，香辣不嗆超提味，敢吃辣的一定要試試看。(店家現在好像有單賣)

整個攤販設計的很溫馨、很乾淨，跟四維路髒髒的形象有天壤之別。
聖誕節時店家還打扮了一下招牌，感受得出經營者很用心。

12/22、12/23好像還有轉盤活動，通通有獎，可惜我來不及去買沒參加到，有點小難過。

——————————————————
給星標準：

一星：超雷，沒來吃過的就不要來吃，不會回訪。

二星：未達期待，環境品質多數不行，非常喜歡同類品項的可以吃看看，不會回訪。

三星：普通，個人口味問題，突出品項少或價格貴，遊客可以吃，可能會回訪。

四星：多數品項皆好吃，價格或環境某些地方些許不足，路過會回訪。

五星：非常好吃，口味品質環境皆滿意，會特地為了餐廳回訪該地區。
——————————————————"	5
特色料理，街市少見，五花肉脆皮香，確實是下酒良菜，價格確實略高，但包裝乾淨清潔，能感覺店家用心，而且支援無接觸支付方式，非常方便，值得推薦。	5
"真的也太好吃了🤤🤤🤤🤤🤤🤤
冷掉吃竟然沒有油膩感！很怕有肥肉的口感
但竟然也沒有 不會太硬 脆脆的 吃起來剛剛好
一口接著一口 真的很涮嘴
尤其那個辣粉 太優了！ 難怪有在賣辣粉 💯"	5
"最近這段期間才興起的小點“脆皮豬”😏，其實以前就很常去燒臘店單買來當點心吃，很喜歡它咬起來酥酥脆脆的口感，且當成零食吃再搭一罐啤酒更完美😂，沒想到如今卻有特別單賣脆皮燒肉的連鎖店了，這家的脆皮燒肉真是名副其實的脆，還沒入口前就先聞到有點類似孜然的香味，應該是醃製時有加上去一些，和傳統燒臘店的做法完全不同，第一口咬下去的時候我就愛上了，皮酥脆，肉質帶點肥嫩鮮嫩的口感，還不會油膩唷，隨餐有附一包香辣粉，但我覺得已經很夠味了🤗。最讓我必須要給五星評價的原因則是，店家的用心與誠意，招牌上面的價格最基本中份就要200元，但我一個人實在吃不了那麼多，又是第一次消費所以很是猶豫，沒想到老闆娘馬上說先讓我買100元試吃看看，哇！姑且不管好不好吃，光這句話就該先給五星🌟🌟🌟🌟🌟，最讓我意外的是量還不少捏，附加的洋蔥也給的很大方，就連外包裝盒也很講究，總之就是一整個讚👍👍👍，下次有機會買大份量的，很期待其他配菜“青木瓜和泡菜”唷！❤️😋

祝生意興隆🎊大排長龍"	5
脆皮豬的調味和肉質沒話說，搭配附上的涼菜是下酒好菜！最愛的是百香青木瓜❤️肉配上特製辣粉超好吃😋闆娘說買整條要吃多少烤多少，烤完跟現場買一樣好吃😋😋服務人員很親切	5
脆皮烤豬的調味和肉質沒話說， 搭配附上的涼菜是下酒好菜！服務人員親切且能配合客人要求很棒，不過店休時間稍微不固定建議加LINE訂購；因為肉已經夠味，附送的辣椒調味粉建議自己買美廉社的蒜蓉花生一起搭配，配上烤豬又是一番風味，喜歡吃辣可以自己切一些朝天椒加一點龜甲萬甘甜醬油沾佐，喜歡吃洋蔥則可以自己切一些加菜。總之雖然烤豬單價不算低， 但自己動手搭配性價比很高， 個人非常推薦！	5
皮很脆，肉多汁軟嫩，油脂很香，單吃就很好吃，搭配洋蔥或泡菜更清爽！服務很好，值得一來再來👍🏻👍🏻👍🏻 …	5
好吃，是真的很好吃，有別於一般的脆皮燒肉，皮真的是脆的，不會過硬，這么相當的技巧才有辦法達到，另外裝盛的器具，也不馬虎，不是一般的廉價品，很有質感，但是太多人了，建議一定要打電話預約。另外，老板穿的很正式，這點有嚇到我，想來是要凸顯出他對這職業的重視。	5
老闆是兩個超正妹！肉也好好吃🤤🤤	5
"雙人份$200，有附洋蔥跟百香果乾
一定要趁熱吃很好吃！冷掉會顯得有點油！
脆皮做的很棒，口味適中不會太鹹！
下次有經過會再光顧！"	5
"第一次購買，買了大份和家人分享，在現場聽老闆娘切的時候就聽到超脆的聲音，大份有三樣配菜（青木瓜好吃欸🤣）搞錯重點🤗
肯定會在回購！！👍"	5
"攤檯乾淨、人員親切、衛生習慣佳、食物美味，小缺點就是不好停車⋯

不敢吃五花、肥肉的我⋯日日香脆皮豬，我可以！😋

(剛忘記拿香辣粉惹🥹)"	5
夾上所附的泡菜蘿蔔，相當好吃!!	5
在社群看到別人推薦，雖然今天下著雨，但還是特地買來晚餐加菜。口味還不錯，皮也烤的嘎崩脆，辣粉很香，附生洋蔥、百香果青木瓜、黃金泡菜可以變換口味解解膩，一兩40元，這樣一份350我覺得可以，也推薦給大家。	5
"真的超好吃！皮超級酥脆、肉超嫩超多汁！
下酒菜的最佳選擇、沒事吃完就會來補貨👍🏻👍🏻 …"	5
訂購餐點時出現一些問題，親切的老闆娘還主動打電話積極處理問題，燒肉真的好吃，服務也很好，值得推薦！	5
我覺得很不錯！可以買回去當下酒菜或者是當小菜配著吃，會在回購	5
"皮脆肉多汁，還有附三樣配菜。
洋蔥是甜的，搭配起來吃很清爽，大推！
點大份吃得極過癮👍"	5
昨天第一次買，覺得很好吃哦	5
回購好幾次了，洋蔥很新鮮，豬肉厚度剛好不油膩～❤️❤️🐷🐷 …	5
聞到香味就來買了，老闆娘人很好很親切，食物好吃又便宜，會再光顧的，推推👍	5
份量和味道都比中壢店感覺差一點，但還不錯吃	3
脆皮豬真的很好吃，每次休假都會買來吃❤️服務人員態度也很好👍🏻	5
"有賣個人餐
肚子餓的時候也可以吃掉整份的正常量
店員非常的親切
對於買少量個人餐的也歡迎
非常好吃肥瘦適中
配菜有不止一種
個人餐是一種
肉有調味了
口味重的也可以灑一點胡椒鹽
也有真空包的可以買回家
價格比起某知名的便宜一點點
份量與價格正常"	5
好吃，又香又脆的，排隊但店員動作滿快的，不會等很久。	5
烤的很酥脆，好吃且份量價格合理，值得回購～～	5
來買好幾次了 配洋蔥 還有香辣粉 缺一不可 家人也好愛	5
老闆娘服務好，肉質香嫩好吃	5
